Algorithm,Run,HV,IGD,Spacing,Spread,BestScalar,Runtime_s
MODE,2,71022.18761884954,5.908255065759314,2.50535527360485,121.55118340234648,1094.2441887878272,3.669797420501709
MODE,3,77720.97395076543,2.3627663774639127,5.518380037270701,120.2161746501141,1080.73797159377,3.604424238204956
MODE,4,72108.30104560149,4.719985428432568,0.07832987841842305,24.158014617314237,1092.0312548168392,3.6245081424713135
MODE,5,74348.02204578817,5.519609852417503,0.1876223620900134,34.17404835801416,1093.0332915848326,3.7565855979919434
MODE,6,68209.34536712096,5.090035343051388,0.24714590631688133,17.728426029946455,1092.7513925707724,3.8599960803985596
MODE,7,74189.96667255613,2.7045670237147843,0.2096982837515848,60.05827268400175,1075.9457471069065,3.651728391647339
MODE,8,78332.52341750287,3.411837987021847,0.08321411078308487,9.691504092182695,1089.4093864039519,3.722278118133545
MODE,9,70751.51989499734,8.486891599132449,0.19927557877247937,36.616672466996555,1098.7804972603687,3.653714895248413
MODE,10,67979.65031334657,6.327014791692337,1.60660654710528,71.63108530614292,1095.085266181372,3.654606819152832
MODE,11,86665.17376617383,2.190936981417427,0.13012495285888978,33.40400330060914,1061.4905045208561,3.8006703853607178
MODE,12,68411.19029985282,3.73853881211784,0.869888885485004,54.28958542884014,1085.9838353097714,3.6864895820617676
MODE,13,72035.77380228473,3.327798556883479,0.39426228462301016,20.93594601686599,1089.750472406689,3.7138824462890625
MODE,14,80675.51600656832,1.8898333450668785,0.198059220462738,53.4279748491903,1080.2411886099285,3.6727309226989746
MODE,15,70905.75758443575,6.759836323894238,0.4543610796063811,24.55479915819302,1095.5825622242899,3.7647359371185303
MODE,16,77259.15620073299,2.017718140796816,0.8466441732078729,52.519149784766086,1081.783013360578,3.751026153564453
MODE,17,68859.00048459164,3.5660619604142463,0.27243224252528714,29.038546398578763,1085.920095306475,3.5459089279174805
MODE,18,70562.0988139542,4.0996278164588436,1.1298465174204413,44.079123225153126,1090.566450838574,3.6905646324157715
MODE,19,82421.17300400164,3.7331641078944324,0.03795283614773168,10.91951757107408,1083.4069564662843,3.761597156524658
MOGWO,0,66422.21092011008,5.559069715495792,1.618842018931786,37.834134293981926,1093.8339228985492,2.052762508392334
MOGWO,1,70268.50027276952,5.89235432666167,2.8238942994189893,9.05143207669936,1093.8134802002592,1.7089383602142334
MOGWO,2,72049.63825829238,6.0599442437139475,5.007161325272718,44.39727583159317,1093.2930995386848,1.8850610256195068
MOGWO,3,77864.97242412093,4.519973358544397,2.5562163998734406,25.29941496112172,1081.0133304454898,1.706268548965454
MOGWO,4,72189.51983849755,4.5674737938051155,0.0,22.71263174661961,1091.8005429675793,1.743708610534668
